Wallet Address,Token Balance,Mint Numbers
0x6502e95f545e65224135b26dd1f1915018f2f948,2,6;7
0x09768a8f68c9c4cd89489632e13e8c0147d164bb,1,10
0x10f418d9daebad69767f2ab67d613503376d2b61,1,3
0x1c7bc3f48d74441bcdc7defe66915b22b4a77dcc,1,2
0x46dc1dd8d015cc773ecffc998860dfb4bfb690a9,1,8
0x53a8d5ad3d58b1a3aa626ea7def1e91c0b1bc8e1,1,5
0x6b49d87f75f19d1344eb3b5e07aafe31ca0b80a8,1,4
0x84d59aa1e5bf4aba045f03cb94346f1aa0d81e5c,1,13
0x889f681ac440638a96c4331842faa689e61456e2,1,14
0x95b48346c103269fa0246896ec96a3735f65c3a0,1,9
0xac73aca1205aff5dfc5e31223c33a970854057ae,1,15
0xd0013d0d6afcc1ad69a8a5d898a178c5ec03af4b,1,1
0xd0e968a72c5510ea12d69d5b632084f2c446a7cf,1,12
0xe6d0f5d3f57a1715601ff29dfdb5efcb30fe75f7,1,11
